energy,events
112201.84543019629,55.57065661998045
125892.54117941661,59.76333492529901
141253.75446227554,51.48622339617732
158489.3192461114,45.32821724152657
177827.94100389228,40.40651638710901
199526.2314968879,36.104821177442915
223872.11385683378,31.916281537500254
251188.6431509582,28.1129162687169
281838.2931264455,24.990912133720997
316227.7660168379,22.212160454538548
354813.3892335753,19.666536041308404
398107.1705534969,17.444757510410966
446683.5921509635,15.437141115364852
501187.2336272725,13.646026570689287
562341.3251903491,12.0713516048516
630957.344480193,10.689550057511724
707945.7843841374,9.386928867839458
794328.2347242822,8.236163076670039
891250.9381337459,7.277618254447475
1000000.0,6.433848513558928
1122018.4543019629,5.671958323087551
1258925.411794166,5.004010563317252
1412537.5446227554,4.41671500939583
1584893.1924611141,3.9235157626885666
1778279.410038923,3.490066168303656
1995262.3149688789,3.1327582444693007
2238721.138568338,2.7476470985458263
2511886.4315095823,2.3480550973596337
2818382.931264455,2.030919379586294
3162277.6601683795,1.7552811537195794
3548133.892335753,1.5562961085221332
3981071.7055349695,1.443400833633973
4466835.921509635,1.4294238605609735
5011872.336272725,1.7031196862177467
5623413.251903491,2.4191528959320294
6309573.44480193,3.055803552420116
7079457.843841373,2.676249974749794
7943282.347242822,1.5929903383297415
8912509.381337458,0.8402053893933044
10000000.0,0.42386838112827263
